"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"https://t.co/eqoygtgOMS https://t.co/0WOYQq2uD1",FALSE,1216,NA,2017-12-04 06:44:32,FALSE,NA,"937573315035754496",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",118,FALSE,FALSE,NA,NA
"Oh.... I Met Walter Jones!!! No biggie! Just one of the greatest offensive tackles in history.… https://t.co/rLut3jYfiW",FALSE,4536,NA,2017-12-04 05:24:56,FALSE,NA,"937553282704269312",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",296,FALSE,FALSE,NA,NA
"This thursday night! During the Falcons and Saints game. Thursday night football. #JurassicWorld #fallenkingdom… https://t.co/8C6JIg6MPi",FALSE,2590,NA,2017-12-04 04:49:16,TRUE,NA,"937544307782717441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",344,FALSE,FALSE,NA,NA
"Thanks to the seattlepd for hanging tonight and for introducing me to K-9 Cerberus. Big ups to… https://t.co/miHbT5S2y0",FALSE,2345,NA,2017-12-04 04:43:44,FALSE,NA,"937542915915767808",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",168,FALSE,FALSE,NA,NA
"1)birth of son
2)praying at the wailing wall
3)raising 12th man flag
<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><U+2665><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>",FALSE,28966,NA,2017-12-04 04:13:56,FALSE,NA,"937535418416873472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",2036,FALSE,FALSE,NA,NA
"Let’s Go!!!! https://t.co/uRUyabjs59",FALSE,3407,NA,2017-12-04 02:42:37,FALSE,NA,"937512434197086210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",164,FALSE,FALSE,NA,NA
"I’m at the Seahawks game! Living my dream. Feeling very blessed. Thanks to Universal, for this trip which is tied... https://t.co/OCbuFVchVT",FALSE,3326,NA,2017-12-04 02:31:11,FALSE,NA,"937509557156409345",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",229,FALSE,FALSE,NA,NA
"I’m at the Seahawks game! Living my dream. Feeling very blessed. Thanks to Universal, for this… https://t.co/v0KitsMUrG",FALSE,4437,NA,2017-12-04 02:29:53,FALSE,NA,"937509231510609921",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",351,FALSE,FALSE,"-122.33158","47.59509"
"Hard at work. #GoHawks #JurassicWorld #YouAintReady https://t.co/nbsPlYQzj4",FALSE,2783,NA,2017-12-03 23:06:10,FALSE,NA,"937457963492659200",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",271,FALSE,FALSE,NA,NA
"Hard at work. #GoHawks #JurassicWorld #YouAintReady @ Seattle, Washington https://t.co/deik6aiPbR",FALSE,2558,NA,2017-12-03 23:04:38,FALSE,NA,"937457579483164672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",243,FALSE,FALSE,"-122.331","47.6064"
"So proud of my friend Chad for writing this book. Faith Forward Future. 

Not so proud of my eye brows which seems.… https://t.co/hGmRPe4roq",FALSE,3015,NA,2017-12-02 21:54:57,TRUE,NA,"937077652883722240",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",192,FALSE,FALSE,NA,NA
"So proud of my friend Chad for writing this book. Faith Forward Future. 

Not so proud of my eye… https://t.co/NFVZZDfmCJ",FALSE,2093,NA,2017-12-02 21:53:12,FALSE,NA,"937077214167707648",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",159,FALSE,FALSE,NA,NA
"PERVY DUDE ALERT!!! (Not a joke) It’s confirmed: somebody is trying to pretend to be me on… https://t.co/503tXi4mTf",FALSE,8766,NA,2017-12-01 06:52:51,FALSE,NA,"936488247408111617",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",1668,FALSE,FALSE,NA,NA
"When I was twelve I won $300 playing bingo and bought a bunch of comic books. I didn’t know much about comics... https://t.co/w9Tkpwsr7Q",FALSE,11155,NA,2017-11-30 01:38:03,FALSE,NA,"936046636203167746",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","prattprattpratt",962,FALSE,FALSE,NA,NA
"When I was twelve I won $300 playing bingo and bought a bunch of comic books. I didn’t know much… https://t.co/yY5jue2xiB",FALSE,8709,NA,2017-11-30 01:35:18,FALSE,NA,"936045945174626304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",779,FALSE,FALSE,NA,NA
"<ed><U+00A0><U+00BD><ed><U+00B8><U+00AE> https://t.co/PN7CI7CZdz",FALSE,57588,NA,2017-11-29 16:05:03,FALSE,NA,"935902435578490880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prattprattpratt",11249,FALSE,FALSE,NA,NA
"Had total success!!! Then I deleted the photo. Then I felt bad. Because these sheep are… https://t.co/2rw1AxM1lu",FALSE,2869,NA,2017-11-27 22:35:17,FALSE,NA,"935275865994391553",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",187,FALSE,FALSE,NA,NA
"Just gazin’ off in the distance sippin’ some coffee from my FREAKIN’ FBI MUG. #burtmacklin https://t.co/szVLpXEfIT",FALSE,4571,NA,2017-11-27 22:15:07,FALSE,NA,"935270788025872384",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prattprattpratt",446,FALSE,FALSE,NA,NA
